Class,HMDB,KEGG,Metabolite,QC1,QC2,WT1,WT2,WT3,WT4,WT5,WT6,Vps_cKO1,Vps_cKO2,Vps_cKO3,Vps_cKO4,Vps_cKO5,Vps_cKO6
Amino Acids,HMDB0000172,C00407,Isoleucine,275.0731,273.0471,336.145,288.1266,231.2936,279.7602,321.0942,282.8646,320.0223,303.5364,277.7393,263.9182,297.9294,276.4094
Amino Acids,HMDB0000687,C00123,Leucine,773.6027,737.2929,874.1464,791.4459,692.4017,718.0596,838.988,786.094,883.6189,830.1534,768.0123,734.9972,834.8116,734.2371
Carbohydrates,HMDB0000098,C00181,Xylose,680.9423,709.449,637.4442,693.8911,675.6145,597.6321,596.4245,611.9307,767.9869,777.8786,742.9934,696.1514,845.3337,669.7901
Carbohydrates,HMDB0000621|HMDB0001644,C00309|C00310,Ribulose and Xylulose,289.8277,291.5767,197.6398,330.5675,276.2139,274.4909,201.5516,242.5524,301.9165,313.7067,365.062,267.0397,333.0211,295.828
Carbohydrates,HMDB0000849,C00507,Rhamnose,5.8897,4.0789,3.4414,7.054,15.9804,4.0762,8.2738,9.8318,12.2469,7.0847,5.896,4.3832,4.4583,4.6471
Carbohydrates,HMDB0003081,C02095,beta-D-Fucose,0.8904,0.9221,1.0163,0.5696,2.1859,0.5736,1.764,0.7266,2.3168,1.238,0.59,0.52,0.6025,0.9354
Carbohydrates,HMDB0000660,C02336,Fructose,128.5525,135.3328,127.6025,136.1524,266.6503,92.4407,132.6068,52.3602,134.5514,208.9719,135.5921,133.0589,148.3648,56.5966
Carbohydrates,HMDB0000215,C00140,N-Acetylglucosamine,21.9383,18.2964,23.4309,22.9054,21.4391,14.8648,19.7651,17.8344,28.7905,28.4396,19.5601,18.6796,21.2255,19.9634
Carbohydrates,HMDB0001051,C02154,Glyceraldehyde,5.9649,6.246,12.3311,10.3991,11.5771,7.91,9.0467,8.1585,7.5734,8.5394,9.2147,6.3443,6.3871,7.6536
Amino Acids,HMDB0001645,C01933,Norleucine,2.4902,3.0268,2.0881,2.4404,2.3142,2.5065,2.9431,2.8885,2.2928,3.157,2.9698,2.4265,1.9699,2.9109
Organic Acids,HMDB0000617,C01546,2-Furoic acid,0.1532,0.1189,0.1554,0.1526,0.1372,0.1035,0.1775,0.2375,0.1108,0.2664,0.1182,0.1376,0.1556,0.1441
Amino Acids,HMDB0000929,C00078,Tryptophan,95.9692,89.8244,97.0143,91.8301,89.57,96.2881,109.2216,102.8734,112.1553,105.9399,101.7288,97.8094,111.1271,95.5797
SCFAs,HMDB0000039,C00246,Butyric acid,18.0931,20.0453,21.811,28.7666,41.6022,26.3931,49.718,23.1284,48.1373,36.1713,14.1457,19.2292,19.7701,20.6573
SCFAs,HMDB0001873,C02632,Isobutyric acid,4.2191,5.3643,6.7908,11.1944,13.1667,8.0975,9.4749,9.7675,11.7563,11.6734,6.3062,8.3559,6.5325,10.5316
Organic Acids,HMDB0000691,C00383,Malonic acid,1.3313,1.5405,1.4744,0.9337,1.12,0.8396,1.2423,1.348,1.5927,1.7544,1.0109,1.4398,1.5171,1.0282
Amino Acids,HMDB0006344,C04148,Phenylacetylglutamine,0.1326,0.1422,0.102,0.1215,0.5817,0.1175,0.095,0.1128,0.1868,0.1268,0.1148,0.111,0.0969,0.1199
Carbohydrates,HMDB0000956,C00898,Tartaric acid,0.35,0.2958,0.8682,0.555,0.1539,0.4608,0.507,0.3049,0.3909,0.3623,0.2483,0.4503,0.4977,0.5426
SCFAs,HMDB0000892,C00803,Valeric acid,5.5455,5.1618,5.4924,8.7018,7.4743,5.1562,7.0628,4.7397,10.9415,7.1151,5.9829,6.4059,6.346,5.4992
Phenylpropanoic Acids,HMDB0000779,NA,Phenyllactic acid,0.2882,0.2909,0.2835,0.3189,0.3008,0.2662,0.3759,0.2095,0.4097,0.5047,0.2556,0.2593,0.3883,0.3749
Organic Acids,HMDB0000176,C01384,Maleic acid,28.8499,30.2536,23.8646,36.103,36.0341,31.9865,26.7376,23.6942,31.6239,27.8818,27.6332,36.8459,27.0349,30.8609
Fatty Acids,HMDB0002092,C00490,Itaconic acid,0.31,0.2264,0.4912,1.251,0.2463,0.2972,0.3526,0.3485,0.2636,0.6632,0.336,0.2851,0.3008,0.2705
Fatty Acids,HMDB0000634,C02226,Citraconic acid,0.1698,0.228,0.2568,0.2124,0.2798,0.279,0.3237,0.2833,0.134,0.2318,0.2708,0.3368,0.3237,0.143
Fatty Acids,HMDB0000448,C06104,Adipic acid,1.1858,1.7462,3.3996,0.7979,0.9298,7.1452,2.5323,0.2134,2.877,9.2877,1.4046,0.7813,0.0772,2.4814
Fatty Acids,HMDB0000752,NA,Methylglutaric acid,0.1725,0.1807,0.2959,0.3256,0.4239,0.2774,0.2081,0.2866,0.5869,0.4735,0.3389,0.1057,0.373,0.3329
Benzoic Acids,HMDB0002107,C01606,Phthalic acid,0.7133,0.7247,0.7151,1.114,1.2638,0.4732,0.6354,0.6486,0.9534,2.4517,0.7332,1.0657,1.2282,0.6918
Bile Acids,NA,NA,TwMCA,0.4782,0.4743,0.3944,0.4648,0.424,0.4829,0.4998,0.4567,0.5157,0.4514,0.687,0.4348,0.4933,0.4646
Bile Acids,HMDB0258742|HMDB0000932,NA,TaMCA and TbMCA,0.9723,0.9635,0.6676,1.2472,0.7928,1.0059,1.5439,1.0482,1.3441,0.9478,2.5512,1.0324,1.519,0.8456
Fatty Acids,HMDB0000857,C02656,Pimelic acid,0.9018,0.626,1.5938,0.5844,0.8592,1.3156,1.2801,0.7743,1.4602,3.044,1.3344,0.74,0.9378,1.5379
Fatty Acids,HMDB0000555,NA,3-Methyladipic acid,0.3475,0.3352,0.4599,0.8692,0.5527,0.5681,0.6135,0.3446,0.6648,0.6637,0.6257,0.3101,0.4184,0.4476
SCFAs,HMDB0000689,NA,Isocaproic acid,0.7993,0.5995,0.6461,0.7355,0.7183,1.0361,0.74,0.6607,0.4269,0.5343,0.446,0.6735,0.711,0.4291
SCFAs,HMDB0000535,C01585,Caproic acid,4.8095,4.7375,8.9183,8.6623,7.6324,6.2697,5.9954,6.0703,5.7087,7.0236,5.8871,8.1698,6.9122,2.5657
Fatty Acids,HMDB0000893,C08278,Suberic acid,2.0546,1.8653,3.1202,1.172,0.6636,3.831,1.8566,1.9467,2.1222,3.6588,2.2298,1.4748,1.4498,0.9434
Bile Acids,HMDB0000036,C05122,TCA,1.2157,1.3693,0.7673,1.3601,0.9488,1.5901,1.8919,0.9632,1.218,0.9509,2.5234,1.1648,1.6337,1.0106
Organic Acids,HMDB0000094,C00158,Citric acid,447.1018,454.8023,464.2882,340.0537,400.9432,375.3378,393.7423,439.2415,382.5978,429.3386,552.6158,489.7941,428.7317,815.6311
Organic Acids,HMDB0000193,C00311,Isocitric acid,12.4786,16.9964,11.3019,16.5782,15.9815,16.023,12.4499,13.4261,15.5531,15.9635,13.8716,13.688,13.7327,19.5449
Fatty Acids,HMDB0031594,NA,2-Methylhexanoic acid,0.1296,0.1185,0.2395,0.1797,0.1996,0.2052,0.1607,0.1728,0.1847,0.2321,0.1659,0.2074,0.2115,0.2112
Fatty Acids,HMDB0340508,NA,4-Methylhexanoic acid,1.1183,1.1572,0.9142,1.159,0.9409,0.9346,1.1539,1.0274,1.3602,1.1625,1.013,1.0076,1.0399,1.1678
Fatty Acids,HMDB0000666,C17714,Heptanoic acid,1.7923,2.1568,2.5356,3.9139,3.5922,2.3697,2.0543,2.8927,2.5094,3.8529,3.2547,2.0142,3.2459,3.0537
Organic Acids,HMDB0000243,C00022,Pyruvic acid,51.3666,49.4511,82.491,26.7566,23.0367,24.1205,58.3054,83.7656,39.7499,40.1897,43.3938,39.493,48.7901,43.2031
Bile Acids,HMDB0000951,C05465,TCDCA,0.0458,0.046,0.0391,0.0478,0.0409,0.1124,0.1088,0.0441,0.0618,0.0497,0.0704,0.1122,0.0506,0.0816
Organic Acids,HMDB0000208,C00026,Oxoglutaric acid,14.5225,12.0588,9.5016,12.4517,14.1095,11.4005,12.2061,14.0622,10.9619,11.5744,11.973,11.4646,14.1011,15.9977
Fatty Acids,HMDB0000482,C06423,Octanoic acid,18.2801,22.503,24.5929,21.2462,21.3074,20.7789,23.4155,23.5434,28.4055,22.4342,28.2063,23.1662,22.9005,16.4525
Bile Acids,HMDB0000664,NA,bHDCA,0.0945,0.1185,0.1392,0.094,0.0907,0.1026,0.0603,0.078,0.1468,0.0997,0.166,0.0875,0.11,0.1043
Bile Acids,HMDB0000946,C07880,UDCA,0.0643,0.0761,0.086,0.0074,0.0184,0.0863,0.1246,0.0655,0.0553,0.0613,0.0856,0.0801,0.0091,0.0481
Bile Acids,HMDB0000733,NA,HDCA,0.1498,0.1505,0.1604,0.2117,0.1862,0.1835,0.3178,0.2011,0.4408,0.1997,0.1488,0.1393,0.137,0.154
Organic Acids,HMDB0000225,C00322,Oxoadipic acid,0.1951,0.1831,0.1898,0.2191,0.1697,0.2114,0.2143,0.1981,0.2119,0.2242,0.2417,0.1741,0.1633,0.2359
Bile Acids,HMDB0000138,C01921,GCA,0.0403,0.0521,0.053,0.0708,0.0813,0.0445,0.0439,0.0312,0.1106,0.0555,0.0274,0.0724,0.0455,0.0229
Fatty Acids,HMDB0000847,C01601,Nonanoic acid,14.0267,16.5639,17.9128,11.3086,8.7119,9.768,16.0006,15.0773,18.7917,12.296,17.7169,15.9842,15.9798,6.8564
Fatty Acids,HMDB0000511,C01571,Decanoic acid,14.124,14.2638,16.4772,11.3307,13.1201,13.5748,16.8227,15.1209,20.2087,12.8292,19.3308,18.5006,17.1674,8.8516
Fatty Acids,HMDB0033724,C13910,Undecylenic acid,0.5023,0.4593,0.6339,0.4419,0.4527,0.6069,0.5636,0.4789,0.6815,0.593,0.5033,0.4793,0.6377,0.6444
Bile Acids,HMDB0000717,C17658,isoLCA,0.0182,0.0207,0.0029,0.0447,0.0186,0.0026,0.0167,0.021,0.0085,0.0121,0.0186,0.023,0.0398,0.0015
Bile Acids,HMDB0000518,C02528,CDCA,0.102,0.1206,0.0858,0.1704,0.0957,0.0226,0.0982,0.1066,0.1933,0.0634,0.0759,0.0689,0.00226,0.0457
Fatty Acids,HMDB0000947,C17715,Undecanoic acid,0.6182,0.6284,0.8105,0.53,0.4003,0.8989,0.7258,0.6947,0.5748,1.0094,0.5805,0.2857,0.6245,0.9488
Fatty Acids,HMDB0000529,NA,5Z-Dodecenoic acid,2.9483,3.0381,2.7071,2.1943,3.2489,2.6921,2.2224,2.9625,3.922,2.4798,4.013,4.279,3.2824,2.6875
